county_name,parameter,Turbidity_result
Modoc,Turbidity,21.8
Modoc,Turbidity,33.2
Modoc,Turbidity,62.7
Modoc,Turbidity,46.5
Modoc,Turbidity,16.9
Modoc,Turbidity,32
Modoc,Turbidity,37.4
Modoc,Turbidity,35.8
Modoc,Turbidity,6.58
Modoc,Turbidity,49.4
Modoc,Turbidity,27.2
Modoc,Turbidity,20.8
Modoc,Turbidity,33.3
Modoc,Turbidity,195
Modoc,Turbidity,45.5
Modoc,Turbidity,51.3
Modoc,Turbidity,48.8
Modoc,Turbidity,48
Modoc,Turbidity,46
Modoc,Turbidity,8.9
Modoc,Turbidity,56.2
Modoc,Turbidity,30.3
Modoc,Turbidity,65
Modoc,Turbidity,23.8
Modoc,Turbidity,26
Modoc,Turbidity,21
Modoc,Turbidity,48.9
Modoc,Turbidity,12.9
Modoc,Turbidity,87
Modoc,Turbidity,58.3
Modoc,Turbidity,19.9
Modoc,Turbidity,5.3
Modoc,Turbidity,46.5
Modoc,Turbidity,36.6
Modoc,Turbidity,13.1
Modoc,Turbidity,5.9
Modoc,Turbidity,16.5
Modoc,Turbidity,19.7
Modoc,Turbidity,7.71
Modoc,Turbidity,1.49
Modoc,Turbidity,13.7
Modoc,Turbidity,103
Modoc,Turbidity,25.2
Modoc,Turbidity,5.5
Modoc,Turbidity,40.9
Modoc,Turbidity,38.1
Modoc,Turbidity,7.1
Modoc,Turbidity,25.4
Modoc,Turbidity,23.5
Modoc,Turbidity,25
Modoc,Turbidity,15.4
Modoc,Turbidity,3.8
Modoc,Turbidity,20
Modoc,Turbidity,28.4
Modoc,Turbidity,24.9
Modoc,Turbidity,5.9
Modoc,Turbidity,3.6
Modoc,Turbidity,4.49
Modoc,Turbidity,16.4
Modoc,Turbidity,11.5
Modoc,Turbidity,3.45
Modoc,Turbidity,3.71
Modoc,Turbidity,5.71
Modoc,Turbidity,8.06
Modoc,Turbidity,2.22
Modoc,Turbidity,5.11
Modoc,Turbidity,6.53
Modoc,Turbidity,12.4
Modoc,Turbidity,3.49
Modoc,Turbidity,98.9
Modoc,Turbidity,10.2
Modoc,Turbidity,2.86
Modoc,Turbidity,3.2
Modoc,Turbidity,16
Modoc,Turbidity,25
Modoc,Turbidity,2.7
Modoc,Turbidity,4.4
Modoc,Turbidity,11.7
Modoc,Turbidity,23
Modoc,Turbidity,5.7
Modoc,Turbidity,8.6
Modoc,Turbidity,3
Modoc,Turbidity,11.3
Modoc,Turbidity,12.9
Modoc,Turbidity,5.8
Modoc,Turbidity,16.4
Modoc,Turbidity,4.1
Modoc,Turbidity,4.4
Modoc,Turbidity,4.3
Modoc,Turbidity,6.1
Modoc,Turbidity,4.6
Modoc,Turbidity,3.7
Modoc,Turbidity,20.2
Modoc,Turbidity,5.5
Modoc,Turbidity,12.8
Modoc,Turbidity,11.5
Modoc,Turbidity,2.82
Modoc,Turbidity,24.3
Modoc,Turbidity,5.42
Modoc,Turbidity,3.5
Modoc,Turbidity,4.53
Modoc,Turbidity,37.7
Modoc,Turbidity,6.4
Modoc,Turbidity,7.5
Modoc,Turbidity,10.9
Modoc,Turbidity,6.9
Modoc,Turbidity,10.1
Modoc,Turbidity,7.2
Modoc,Turbidity,2.6
Modoc,Turbidity,6.7
Modoc,Turbidity,3.5
Modoc,Turbidity,4.1
Modoc,Turbidity,1.72
Modoc,Turbidity,5.26
Modoc,Turbidity,2.83
Modoc,Turbidity,11.9
Modoc,Turbidity,2.1
Modoc,Turbidity,1.44
Modoc,Turbidity,3.5
Modoc,Turbidity,3.3
Modoc,Turbidity,2.3
Modoc,Turbidity,11.2
Modoc,Turbidity,9.65
Modoc,Turbidity,47.3
Modoc,Turbidity,166
Modoc,Turbidity,9.65
Modoc,Turbidity,9
Modoc,Turbidity,57.8
Modoc,Turbidity,27.1
Modoc,Turbidity,4.78
Modoc,Turbidity,16.9
Modoc,Turbidity,19.4
Modoc,Turbidity,26.7
Modoc,Turbidity,8.39
Modoc,Turbidity,23
Modoc,Turbidity,169
Modoc,Turbidity,15.3
Modoc,Turbidity,17.4
Modoc,Turbidity,54
Modoc,Turbidity,48
Modoc,Turbidity,9.8
Modoc,Turbidity,29
Modoc,Turbidity,45.4
Modoc,Turbidity,85
Modoc,Turbidity,11.2
Modoc,Turbidity,8.9
Modoc,Turbidity,23
Modoc,Turbidity,102
Modoc,Turbidity,21
Modoc,Turbidity,29
Modoc,Turbidity,43.1
Modoc,Turbidity,26.4
Modoc,Turbidity,11.8
Modoc,Turbidity,74.2
Modoc,Turbidity,20.9
Modoc,Turbidity,7.7
Modoc,Turbidity,9.06
Modoc,Turbidity,53.4
Modoc,Turbidity,101
Modoc,Turbidity,18.3
Modoc,Turbidity,25.2
Modoc,Turbidity,2.97
Modoc,Turbidity,4.3
Modoc,Turbidity,18.6
Modoc,Turbidity,28.9
Modoc,Turbidity,9.15
Modoc,Turbidity,74.8
Modoc,Turbidity,14.9
Modoc,Turbidity,38.8
Modoc,Turbidity,8.4
Modoc,Turbidity,4.8
Modoc,Turbidity,41.3
Modoc,Turbidity,53.4
Modoc,Turbidity,37.1
Modoc,Turbidity,49.1
Modoc,Turbidity,7.1
Modoc,Turbidity,4.4
Modoc,Turbidity,90.4
Modoc,Turbidity,37.5
Modoc,Turbidity,25.4
Modoc,Turbidity,22.5
Modoc,Turbidity,9.2
Modoc,Turbidity,55.6
Modoc,Turbidity,32
Modoc,Turbidity,22.9
Modoc,Turbidity,6.5
Modoc,Turbidity,0.44
Modoc,Turbidity,0.75
Modoc,Turbidity,0.14
Modoc,Turbidity,0.69
Modoc,Turbidity,0.5
Modoc,Turbidity,0.23
Modoc,Turbidity,0.21
Modoc,Turbidity,0.35
Modoc,Turbidity,0.6
Modoc,Turbidity,0.11
Modoc,Turbidity,0.51
Modoc,Turbidity,0.6
Modoc,Turbidity,0.15
Modoc,Turbidity,0.55
Modoc,Turbidity,9.7
Modoc,Turbidity,8.13
Modoc,Turbidity,1.65
Modoc,Turbidity,0.56
Modoc,Turbidity,0.63
Modoc,Turbidity,22.5
Modoc,Turbidity,0.53
Modoc,Turbidity,0.8
Modoc,Turbidity,0.17
Modoc,Turbidity,10.4
Modoc,Turbidity,12.9
Modoc,Turbidity,82.5
Modoc,Turbidity,23.8
Modoc,Turbidity,525
Modoc,Turbidity,24.3
Modoc,Turbidity,62.1
Modoc,Turbidity,44.4
Modoc,Turbidity,16.3
Modoc,Turbidity,46.2
Modoc,Turbidity,33.7
Modoc,Turbidity,77.4
Modoc,Turbidity,5.5
Modoc,Turbidity,198
Modoc,Turbidity,41.1
Modoc,Turbidity,21.5
Modoc,Turbidity,98.5
Modoc,Turbidity,42
Modoc,Turbidity,20
Modoc,Turbidity,12.7
Modoc,Turbidity,16.7
Modoc,Turbidity,26.9
Modoc,Turbidity,1.4
Santa Clara,Turbidity,7
Santa Clara,Turbidity,3.8
Santa Clara,Turbidity,2.4
Santa Clara,Turbidity,3.6
Santa Clara,Turbidity,13.4
Santa Clara,Turbidity,7.8
Santa Clara,Turbidity,23.8
Santa Clara,Turbidity,5
Santa Clara,Turbidity,8.7
Santa Clara,Turbidity,11.7
Santa Clara,Turbidity,10.5
Santa Clara,Turbidity,2
Santa Clara,Turbidity,2.5
Santa Clara,Turbidity,7
Santa Clara,Turbidity,15.5
Santa Clara,Turbidity,8.1
Santa Clara,Turbidity,12.7
Santa Clara,Turbidity,12.7
Santa Clara,Turbidity,4.9
Santa Clara,Turbidity,3.5
Santa Clara,Turbidity,11.1
Santa Clara,Turbidity,6.4
Santa Clara,Turbidity,12.7
Santa Clara,Turbidity,7.2
Santa Clara,Turbidity,17.5
Santa Clara,Turbidity,15.4
Santa Clara,Turbidity,14.5
Santa Clara,Turbidity,8.9
Santa Clara,Turbidity,13.7
Santa Clara,Turbidity,3.7
Santa Clara,Turbidity,4.7
Santa Clara,Turbidity,3.6
Santa Clara,Turbidity,10.8
Santa Clara,Turbidity,6.2
Santa Clara,Turbidity,5.3
Santa Clara,Turbidity,5.4
Santa Clara,Turbidity,5.2
Santa Clara,Turbidity,4.1
Santa Clara,Turbidity,5.4
Santa Clara,Turbidity,8.1
Santa Clara,Turbidity,5.6
Santa Clara,Turbidity,20.8
Santa Clara,Turbidity,4.3
Santa Clara,Turbidity,3.1
Santa Clara,Turbidity,5.9
Santa Clara,Turbidity,6.3
Santa Clara,Turbidity,22.7
Santa Clara,Turbidity,10.3
Santa Clara,Turbidity,4.9
Santa Clara,Turbidity,5.1
Santa Clara,Turbidity,12.3
Santa Clara,Turbidity,4.5
Santa Clara,Turbidity,3.7
Santa Clara,Turbidity,6.5
Santa Clara,Turbidity,5
Santa Clara,Turbidity,8.4
Santa Clara,Turbidity,7.1
Santa Clara,Turbidity,1.8
Santa Clara,Turbidity,11.1
Santa Clara,Turbidity,17.1
Santa Clara,Turbidity,7.4
Santa Clara,Turbidity,3.6
Santa Clara,Turbidity,3.2
Santa Clara,Turbidity,1.6
Santa Clara,Turbidity,7.6
Santa Clara,Turbidity,8.4
Santa Clara,Turbidity,2.3
